id,name,ic_number,school_id,form_level,class_name,kodkaum,jantina,phone,parent_phone,address,is_target_student
82,"Kumar A/L Raj",050238567890,2,5,"5 Cemerlang",I,L,012-0000082,019-1000082,"Alamat Murid 82",true
83,"Michelle Wilson",050239567890,2,5,"5 Cemerlang",L,P,012-0000083,019-1000083,"Alamat Murid 83",true
84,"Ahmad Bin Abdullah",050240567890,2,5,"5 Cemerlang",M,L,012-0000084,019-1000084,"Alamat Murid 84",true
85,"Siti Binti Hassan",050241567890,2,5,"5 Cemerlang",M,P,012-0000085,019-1000085,"Alamat Murid 85",true
86,"Ahmad Bin Omar",050242567890,2,5,"5 Cemerlang",M,L,012-0000086,019-1000086,"Alamat Murid 86",true
87,"Siti Binti Rahman",050243567890,2,5,"5 Cemerlang",M,P,012-0000087,019-1000087,"Alamat Murid 87",true
88,"Ahmad Bin Ali",050244567890,2,5,"5 Cemerlang",M,L,012-0000088,019-1000088,"Alamat Murid 88",true
89,"Siti Binti Hassan",050301567890,3,4,"4 Bestari",M,P,012-0000089,019-1000089,"Alamat Murid 89",true
90,"Ahmad Bin Omar",050302567890,3,4,"4 Bestari",M,L,012-0000090,019-1000090,"Alamat Murid 90",true
91,"Siti Binti Rahman",050303567890,3,4,"4 Bestari",M,P,012-0000091,019-1000091,"Alamat Murid 91",true
92,"Ahmad Bin Ali",050304567890,3,4,"4 Bestari",M,L,012-0000092,019-1000092,"Alamat Murid 92",true
93,"Siti Binti Ahmad",050305567890,3,4,"4 Bestari",M,P,012-0000093,019-1000093,"Alamat Murid 93",true
94,"Tan Kar Wai",050306567890,3,4,"4 Bestari",C,L,012-0000094,019-1000094,"Alamat Murid 94",true
95,"Wong Li Ying",050307567890,3,4,"4 Bestari",C,P,012-0000095,019-1000095,"Alamat Murid 95",true
96,"Kumar A/L Raj",050308567890,3,4,"4 Bestari",I,L,012-0000096,019-1000096,"Alamat Murid 96",true
97,"Michelle Wilson",050309567890,3,4,"4 Bestari",L,P,012-0000097,019-1000097,"Alamat Murid 97",true
98,"Ahmad Bin Abdullah",050310567890,3,4,"4 Bestari",M,L,012-0000098,019-1000098,"Alamat Murid 98",true
99,"Siti Binti Hassan",050311567890,3,4,"4 Bestari",M,P,012-0000099,019-1000099,"Alamat Murid 99",true
100,"Ahmad Bin Omar",050312567890,3,4,"4 Cemerlang",M,L,012-0000100,019-1000100,"Alamat Murid 100",true
101,"Siti Binti Rahman",050313567890,3,4,"4 Cemerlang",M,P,012-0000101,019-1000101,"Alamat Murid 101",true
102,"Ahmad Bin Ali",050314567890,3,4,"4 Cemerlang",M,L,012-0000102,019-1000102,"Alamat Murid 102",true
103,"Siti Binti Ahmad",050315567890,3,4,"4 Cemerlang",M,P,012-0000103,019-1000103,"Alamat Murid 103",true
104,"Tan Kar Wai",050316567890,3,4,"4 Cemerlang",C,L,012-0000104,019-1000104,"Alamat Murid 104",true
105,"Wong Li Ying",050317567890,3,4,"4 Cemerlang",C,P,012-0000105,019-1000105,"Alamat Murid 105",true
106,"Kumar A/L Raj",050318567890,3,4,"4 Cemerlang",I,L,012-0000106,019-1000106,"Alamat Murid 106",true
107,"Michelle Wilson",050319567890,3,4,"4 Cemerlang",L,P,012-0000107,019-1000107,"Alamat Murid 107",true
108,"Ahmad Bin Abdullah",050320567890,3,4,"4 Cemerlang",M,L,012-0000108,019-1000108,"Alamat Murid 108",true
109,"Siti Binti Hassan",050321567890,3,4,"4 Cemerlang",M,P,012-0000109,019-1000109,"Alamat Murid 109",true
110,"Ahmad Bin Omar",050322567890,3,4,"4 Cemerlang",M,L,012-0000110,019-1000110,"Alamat Murid 110",true
111,"Siti Binti Rahman",050323567890,3,5,"5 Bestari",M,P,012-0000111,019-1000111,"Alamat Murid 111",true
112,"Ahmad Bin Ali",050324567890,3,5,"5 Bestari",M,L,012-0000112,019-1000112,"Alamat Murid 112",true
113,"Siti Binti Ahmad",050325567890,3,5,"5 Bestari",M,P,012-0000113,019-1000113,"Alamat Murid 113",true
114,"Tan Kar Wai",050326567890,3,5,"5 Bestari",C,L,012-0000114,019-1000114,"Alamat Murid 114",true
115,"Wong Li Ying",050327567890,3,5,"5 Bestari",C,P,012-0000115,019-1000115,"Alamat Murid 115",true
116,"Kumar A/L Raj",050328567890,3,5,"5 Bestari",I,L,012-0000116,019-1000116,"Alamat Murid 116",true
117,"Michelle Wilson",050329567890,3,5,"5 Bestari",L,P,012-0000117,019-1000117,"Alamat Murid 117",true
118,"Ahmad Bin Abdullah",050330567890,3,5,"5 Bestari",M,L,012-0000118,019-1000118,"Alamat Murid 118",true
119,"Siti Binti Hassan",050331567890,3,5,"5 Bestari",M,P,012-0000119,019-1000119,"Alamat Murid 119",true
120,"Ahmad Bin Omar",050332567890,3,5,"5 Bestari",M,L,012-0000120,019-1000120,"Alamat Murid 120",true
121,"Siti Binti Rahman",050333567890,3,5,"5 Bestari",M,P,012-0000121,019-1000121,"Alamat Murid 121",true
122,"Ahmad Bin Ali",050334567890,3,5,"5 Cemerlang",M,L,012-0000122,019-1000122,"Alamat Murid 122",true
123,"Siti Binti Ahmad",050335567890,3,5,"5 Cemerlang",M,P,012-0000123,019-1000123,"Alamat Murid 123",true
124,"Tan Kar Wai",050336567890,3,5,"5 Cemerlang",C,L,012-0000124,019-1000124,"Alamat Murid 124",true
125,"Wong Li Ying",050337567890,3,5,"5 Cemerlang",C,P,012-0000125,019-1000125,"Alamat Murid 125",true
126,"Kumar A/L Raj",050338567890,3,5,"5 Cemerlang",I,L,012-0000126,019-1000126,"Alamat Murid 126",true
127,"Michelle Wilson",050339567890,3,5,"5 Cemerlang",L,P,012-0000127,019-1000127,"Alamat Murid 127",true
128,"Ahmad Bin Abdullah",050340567890,3,5,"5 Cemerlang",M,L,012-0000128,019-1000128,"Alamat Murid 128",true
129,"Siti Binti Hassan",050341567890,3,5,"5 Cemerlang",M,P,012-0000129,019-1000129,"Alamat Murid 129",true
130,"Ahmad Bin Omar",050342567890,3,5,"5 Cemerlang",M,L,012-0000130,019-1000130,"Alamat Murid 130",true
131,"Siti Binti Rahman",050343567890,3,5,"5 Cemerlang",M,P,012-0000131,019-1000131,"Alamat Murid 131",true
132,"Ahmad Bin Ali",050344567890,3,5,"5 Cemerlang",M,L,012-0000132,019-1000132,"Alamat Murid 132",true
133,"Siti Binti Hassan",050401567890,4,4,"4 Bestari",M,P,012-0000133,019-1000133,"Alamat Murid 133",true
134,"Ahmad Bin Omar",050402567890,4,4,"4 Bestari",M,L,012-0000134,019-1000134,"Alamat Murid 134",true
135,"Siti Binti Rahman",050403567890,4,4,"4 Bestari",M,P,012-0000135,019-1000135,"Alamat Murid 135",true
136,"Ahmad Bin Ali",050404567890,4,4,"4 Bestari",M,L,012-0000136,019-1000136,"Alamat Murid 136",true
137,"Siti Binti Ahmad",050405567890,4,4,"4 Bestari",M,P,012-0000137,019-1000137,"Alamat Murid 137",true
138,"Tan Kar Wai",050406567890,4,4,"4 Bestari",C,L,012-0000138,019-1000138,"Alamat Murid 138",true
139,"Wong Li Ying",050407567890,4,4,"4 Bestari",C,P,012-0000139,019-1000139,"Alamat Murid 139",true
140,"Kumar A/L Raj",050408567890,4,4,"4 Bestari",I,L,012-0000140,019-1000140,"Alamat Murid 140",true
141,"Michelle Wilson",050409567890,4,4,"4 Bestari",L,P,012-0000141,019-1000141,"Alamat Murid 141",true
142,"Ahmad Bin Abdullah",050410567890,4,4,"4 Bestari",M,L,012-0000142,019-1000142,"Alamat Murid 142",true
143,"Siti Binti Hassan",050411567890,4,4,"4 Bestari",M,P,012-0000143,019-1000143,"Alamat Murid 143",true
144,"Ahmad Bin Omar",050412567890,4,4,"4 Cemerlang",M,L,012-0000144,019-1000144,"Alamat Murid 144",true
145,"Siti Binti Rahman",050413567890,4,4,"4 Cemerlang",M,P,012-0000145,019-1000145,"Alamat Murid 145",true
146,"Ahmad Bin Ali",050414567890,4,4,"4 Cemerlang",M,L,012-0000146,019-1000146,"Alamat Murid 146",true
147,"Siti Binti Ahmad",050415567890,4,4,"4 Cemerlang",M,P,012-0000147,019-1000147,"Alamat Murid 147",true
148,"Tan Kar Wai",050416567890,4,4,"4 Cemerlang",C,L,012-0000148,019-1000148,"Alamat Murid 148",true
149,"Wong Li Ying",050417567890,4,4,"4 Cemerlang",C,P,012-0000149,019-1000149,"Alamat Murid 149",true
150,"Kumar A/L Raj",050418567890,4,4,"4 Cemerlang",I,L,012-0000150,019-1000150,"Alamat Murid 150",true
151,"Michelle Wilson",050419567890,4,4,"4 Cemerlang",L,P,012-0000151,019-1000151,"Alamat Murid 151",true
152,"Ahmad Bin Abdullah",050420567890,4,4,"4 Cemerlang",M,L,012-0000152,019-1000152,"Alamat Murid 152",true
153,"Siti Binti Hassan",050421567890,4,4,"4 Cemerlang",M,P,012-0000153,019-1000153,"Alamat Murid 153",true
154,"Ahmad Bin Omar",050422567890,4,4,"4 Cemerlang",M,L,012-0000154,019-1000154,"Alamat Murid 154",true
155,"Siti Binti Rahman",050423567890,4,5,"5 Bestari",M,P,012-0000155,019-1000155,"Alamat Murid 155",true
156,"Ahmad Bin Ali",050424567890,4,5,"5 Bestari",M,L,012-0000156,019-1000156,"Alamat Murid 156",true
157,"Siti Binti Ahmad",050425567890,4,5,"5 Bestari",M,P,012-0000157,019-1000157,"Alamat Murid 157",true
158,"Tan Kar Wai",050426567890,4,5,"5 Bestari",C,L,012-0000158,019-1000158,"Alamat Murid 158",true
159,"Wong Li Ying",050427567890,4,5,"5 Bestari",C,P,012-0000159,019-1000159,"Alamat Murid 159",true
160,"Kumar A/L Raj",050428567890,4,5,"5 Bestari",I,L,012-0000160,019-1000160,"Alamat Murid 160",true
161,"Michelle Wilson",050429567890,4,5,"5 Bestari",L,P,012-0000161,019-1000161,"Alamat Murid 161",true
162,"Ahmad Bin Abdullah",050430567890,4,5,"5 Bestari",M,L,012-0000162,019-1000162,"Alamat Murid 162",true
163,"Siti Binti Hassan",050431567890,4,5,"5 Bestari",M,P,012-0000163,019-1000163,"Alamat Murid 163",true
164,"Ahmad Bin Omar",050432567890,4,5,"5 Bestari",M,L,012-0000164,019-1000164,"Alamat Murid 164",true
165,"Siti Binti Rahman",050433567890,4,5,"5 Bestari",M,P,012-0000165,019-1000165,"Alamat Murid 165",true
166,"Ahmad Bin Ali",050434567890,4,5,"5 Cemerlang",M,L,012-0000166,019-1000166,"Alamat Murid 166",true
167,"Siti Binti Ahmad",050435567890,4,5,"5 Cemerlang",M,P,012-0000167,019-1000167,"Alamat Murid 167",true
168,"Tan Kar Wai",050436567890,4,5,"5 Cemerlang",C,L,012-0000168,019-1000168,"Alamat Murid 168",true
169,"Wong Li Ying",050437567890,4,5,"5 Cemerlang",C,P,012-0000169,019-1000169,"Alamat Murid 169",true
170,"Kumar A/L Raj",050438567890,4,5,"5 Cemerlang",I,L,012-0000170,019-1000170,"Alamat Murid 170",true
171,"Michelle Wilson",050439567890,4,5,"5 Cemerlang",L,P,012-0000171,019-1000171,"Alamat Murid 171",true
172,"Ahmad Bin Abdullah",050440567890,4,5,"5 Cemerlang",M,L,012-0000172,019-1000172,"Alamat Murid 172",true
173,"Siti Binti Hassan",050441567890,4,5,"5 Cemerlang",M,P,012-0000173,019-1000173,"Alamat Murid 173",true
174,"Ahmad Bin Omar",050442567890,4,5,"5 Cemerlang",M,L,012-0000174,019-1000174,"Alamat Murid 174",true
175,"Siti Binti Rahman",050443567890,4,5,"5 Cemerlang",M,P,012-0000175,019-1000175,"Alamat Murid 175",true
176,"Ahmad Bin Ali",050444567890,4,5,"5 Cemerlang",M,L,012-0000176,019-1000176,"Alamat Murid 176",true
177,"Siti Binti Hassan",050501567890,5,4,"4 Bestari",M,P,012-0000177,019-1000177,"Alamat Murid 177",true
178,"Ahmad Bin Omar",050502567890,5,4,"4 Bestari",M,L,012-0000178,019-1000178,"Alamat Murid 178",true
179,"Siti Binti Rahman",050503567890,5,4,"4 Bestari",M,P,012-0000179,019-1000179,"Alamat Murid 179",true
180,"Ahmad Bin Ali",050504567890,5,4,"4 Bestari",M,L,012-0000180,019-1000180,"Alamat Murid 180",true
181,"Siti Binti Ahmad",050505567890,5,4,"4 Bestari",M,P,012-0000181,019-1000181,"Alamat Murid 181",true
182,"Tan Kar Wai",050506567890,5,4,"4 Bestari",C,L,012-0000182,019-1000182,"Alamat Murid 182",true
183,"Wong Li Ying",050507567890,5,4,"4 Bestari",C,P,012-0000183,019-1000183,"Alamat Murid 183",true
184,"Kumar A/L Raj",050508567890,5,4,"4 Bestari",I,L,012-0000184,019-1000184,"Alamat Murid 184",true
185,"Michelle Wilson",050509567890,5,4,"4 Bestari",L,P,012-0000185,019-1000185,"Alamat Murid 185",true
186,"Ahmad Bin Abdullah",050510567890,5,4,"4 Bestari",M,L,012-0000186,019-1000186,"Alamat Murid 186",true
187,"Siti Binti Hassan",050511567890,5,4,"4 Bestari",M,P,012-0000187,019-1000187,"Alamat Murid 187",true
188,"Ahmad Bin Omar",050512567890,5,4,"4 Cemerlang",M,L,012-0000188,019-1000188,"Alamat Murid 188",true
189,"Siti Binti Rahman",050513567890,5,4,"4 Cemerlang",M,P,012-0000189,019-1000189,"Alamat Murid 189",true
190,"Ahmad Bin Ali",050514567890,5,4,"4 Cemerlang",M,L,012-0000190,019-1000190,"Alamat Murid 190",true
191,"Siti Binti Ahmad",050515567890,5,4,"4 Cemerlang",M,P,012-0000191,019-1000191,"Alamat Murid 191",true
192,"Tan Kar Wai",050516567890,5,4,"4 Cemerlang",C,L,012-0000192,019-1000192,"Alamat Murid 192",true
193,"Wong Li Ying",050517567890,5,4,"4 Cemerlang",C,P,012-0000193,019-1000193,"Alamat Murid 193",true
194,"Kumar A/L Raj",050518567890,5,4,"4 Cemerlang",I,L,012-0000194,019-1000194,"Alamat Murid 194",true
195,"Michelle Wilson",050519567890,5,4,"4 Cemerlang",L,P,012-0000195,019-1000195,"Alamat Murid 195",true
196,"Ahmad Bin Abdullah",050520567890,5,4,"4 Cemerlang",M,L,012-0000196,019-1000196,"Alamat Murid 196",true
197,"Siti Binti Hassan",050521567890,5,4,"4 Cemerlang",M,P,012-0000197,019-1000197,"Alamat Murid 197",true
198,"Ahmad Bin Omar",050522567890,5,4,"4 Cemerlang",M,L,012-0000198,019-1000198,"Alamat Murid 198",true
199,"Siti Binti Rahman",050523567890,5,5,"5 Bestari",M,P,012-0000199,019-1000199,"Alamat Murid 199",true
200,"Ahmad Bin Ali",050524567890,5,5,"5 Bestari",M,L,012-0000200,019-1000200,"Alamat Murid 200",true
201,"Siti Binti Ahmad",050525567890,5,5,"5 Bestari",M,P,012-0000201,019-1000201,"Alamat Murid 201",true
202,"Tan Kar Wai",050526567890,5,5,"5 Bestari",C,L,012-0000202,019-1000202,"Alamat Murid 202",true
203,"Wong Li Ying",050527567890,5,5,"5 Bestari",C,P,012-0000203,019-1000203,"Alamat Murid 203",true
204,"Kumar A/L Raj",050528567890,5,5,"5 Bestari",I,L,012-0000204,019-1000204,"Alamat Murid 204",true
205,"Michelle Wilson",050529567890,5,5,"5 Bestari",L,P,012-0000205,019-1000205,"Alamat Murid 205",true
206,"Ahmad Bin Abdullah",050530567890,5,5,"5 Bestari",M,L,012-0000206,019-1000206,"Alamat Murid 206",true
207,"Siti Binti Hassan",050531567890,5,5,"5 Bestari",M,P,012-0000207,019-1000207,"Alamat Murid 207",true
208,"Ahmad Bin Omar",050532567890,5,5,"5 Bestari",M,L,012-0000208,019-1000208,"Alamat Murid 208",true
209,"Siti Binti Rahman",050533567890,5,5,"5 Bestari",M,P,012-0000209,019-1000209,"Alamat Murid 209",true
210,"Ahmad Bin Ali",050534567890,5,5,"5 Cemerlang",M,L,012-0000210,019-1000210,"Alamat Murid 210",true
211,"Siti Binti Ahmad",050535567890,5,5,"5 Cemerlang",M,P,012-0000211,019-1000211,"Alamat Murid 211",true
212,"Tan Kar Wai",050536567890,5,5,"5 Cemerlang",C,L,012-0000212,019-1000212,"Alamat Murid 212",true
213,"Wong Li Ying",050537567890,5,5,"5 Cemerlang",C,P,012-0000213,019-1000213,"Alamat Murid 213",true
214,"Kumar A/L Raj",050538567890,5,5,"5 Cemerlang",I,L,012-0000214,019-1000214,"Alamat Murid 214",true
215,"Michelle Wilson",050539567890,5,5,"5 Cemerlang",L,P,012-0000215,019-1000215,"Alamat Murid 215",true
216,"Ahmad Bin Abdullah",050540567890,5,5,"5 Cemerlang",M,L,012-0000216,019-1000216,"Alamat Murid 216",true
217,"Siti Binti Hassan",050541567890,5,5,"5 Cemerlang",M,P,012-0000217,019-1000217,"Alamat Murid 217",true
218,"Ahmad Bin Omar",050542567890,5,5,"5 Cemerlang",M,L,012-0000218,019-1000218,"Alamat Murid 218",true
219,"Siti Binti Rahman",050543567890,5,5,"5 Cemerlang",M,P,012-0000219,019-1000219,"Alamat Murid 219",true
220,"Ahmad Bin Ali",050544567890,5,5,"5 Cemerlang",M,L,012-0000220,019-1000220,"Alamat Murid 220",true
221,"Siti Binti Hassan",050601567890,6,4,"4 Bestari",M,P,012-0000221,019-1000221,"Alamat Murid 221",true
222,"Ahmad Bin Omar",050602567890,6,4,"4 Bestari",M,L,012-0000222,019-1000222,"Alamat Murid 222",true
223,"Siti Binti Rahman",050603567890,6,4,"4 Bestari",M,P,012-0000223,019-1000223,"Alamat Murid 223",true
224,"Ahmad Bin Ali",050604567890,6,4,"4 Bestari",M,L,012-0000224,019-1000224,"Alamat Murid 224",true
225,"Siti Binti Ahmad",050605567890,6,4,"4 Bestari",M,P,012-0000225,019-1000225,"Alamat Murid 225",true
226,"Tan Kar Wai",050606567890,6,4,"4 Bestari",C,L,012-0000226,019-1000226,"Alamat Murid 226",true
227,"Wong Li Ying",050607567890,6,4,"4 Bestari",C,P,012-0000227,019-1000227,"Alamat Murid 227",true
